gmm-init-model --write-occs=exp/tri/00.occs exp/tree/tree exp/tree/tree.acc train/topo exp/tri/00.mdl 
LOG (gmm-init-model:main():gmm-init-model.cc:271) Number of separate statistics is 9816
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 22: 99; corresponding phone list: 9 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 88: 53; corresponding phone list: 24 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 101: 51; corresponding phone list: 27 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 125: 53; corresponding phone list: 32 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 143: 69; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 174: 66; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 197: 88; corresponding phone list: 5 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 204: 53; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 207: 56; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 345: 96; corresponding phone list: 31 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 397: 59; corresponding phone list: 19 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 412: 52; corresponding phone list: 5 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 422: 94; corresponding phone list: 25 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 426: 67; corresponding phone list: 18 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 433: 89; corresponding phone list: 22 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 482: 53; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 498: 99; corresponding phone list: 20 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 502: 78; corresponding phone list: 24 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 515: 37; corresponding phone list: 8 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 571: 86; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 580: 24; corresponding phone list: 20 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 609: 95; corresponding phone list: 16 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 647: 79; corresponding phone list: 3 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 656: 33; corresponding phone list: 36 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 658: 76; corresponding phone list: 20 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 675: 97; corresponding phone list: 20 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 689: 51; corresponding phone list: 23 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 702: 98; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 708: 94; corresponding phone list: 24 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 724: 71; corresponding phone list: 20 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 732: 83; corresponding phone list: 7 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 746: 40; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 748: 52; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 751: 20; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 753: 10; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 762: 90; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 777: 83; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 789: 18; corresponding phone list: 36 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 796: 68; corresponding phone list: 36 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 847: 12; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 853: 78; corresponding phone list: 9 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 855: 52; corresponding phone list: 9 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 856: 39; corresponding phone list: 9 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 860: 38; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 873: 84; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 874: 25; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 880: 70; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 901: 87; corresponding phone list: 26 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 904: 65; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 919: 91; corresponding phone list: 5 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 920: 98; corresponding phone list: 5 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 945: 48; corresponding phone list: 22 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 947: 96; corresponding phone list: 22 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 951: 68; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 953: 93; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 968: 83; corresponding phone list: 20 
